SubsID,error.immigrants.trim,error.asylum.seekers.trim,error.trim,error.immigrants,error.asylum.seekers,error,consp_01,confidence,trust.stat,news.paper,news.social,news.tv,concern.imm,edu.tertiary,lr,age,female,abit,income,dummy.imm.as,country,QG8c_1_T4,QG8d_1_T4,QG16_1_T4,QG16_2_T4,QG16_3_T4,QG16_4_T4,country_cod,int_wt1_cap_T4
EPOK45ZBYXXQPP64B8,NA,5.99170319485018,5.99170319485018,NA,5.99170319485018,5.99170319485018,0.34488778196514,0,1,0.375,1,1,1,1,0.1,61,1,1. Metropolitan zone,0.272727272727273,0,Portugal,NA,6,3,4,3,2,8,0.344498169
EPOK47895JYZQN64B6,-0.74142687642692,NA,-0.74142687642692,-0.74142687642692,NA,-0.74142687642692,0.81060718680772,1,1,0.125,0.75,1,1,0,0.5,44,1,1. Metropolitan zone,0.272727272727273,1,Portugal,2,NA,2,1,1,3,8,0.794796927
EPOKVTKPFH9LP944C5,2.25857312357308,NA,2.25857312357308,2.25857312357308,NA,2.25857312357308,0.81060718680772,0,1,0.25,0.75,0.625,1,0,0.6,27,1,2. Other town/urban centre,0.272727272727273,1,Portugal,5,NA,2,1,1,3,8,1.408175274
EPOK48SJ8TNFFN54B4,2.25857312357308,NA,2.25857312357308,2.25857312357308,NA,2.25857312357308,0.79748441976404,0,1,0.125,1,1,1,1,0.4,59,1,3. Rural zone,0.090909090909091,1,Portugal,5,NA,2,2,1,2,8,0.344498169
EPOK3NJQ3VZNBPY4B8,NA,1.99170319485018,1.99170319485018,NA,1.99170319485018,1.99170319485018,0.676133532904684,0,0,0.375,0.5,1,1,0,0.4,32,0,1. Metropolitan zone,0.272727272727273,0,Portugal,NA,2,2,1,2,3,8,1.19909846
EPOKVYZC4RBQYKT4C8,47.2585731235731,NA,47.2585731235731,47.2585731235731,NA,47.2585731235731,0.968010982713188,0,0,0,0.5,0.75,1,1,0.3,34,1,2. Other town/urban centre,0.272727272727273,1,Portugal,50,NA,1,1,1,1,8,0.582668984
EPOK4BV45TKVXVF4B5,27.2585731235731,NA,27.2585731235731,27.2585731235731,NA,27.2585731235731,0.604551911985957,0,1,0,1,0.875,1,1,0.4,41,1,1. Metropolitan zone,0.272727272727273,1,Portugal,30,NA,3,2,2,2,8,0.60884718
EPOK47WY7X8LFYG4B3,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.600415527802114,0,1,0.25,0.625,0.5,1,1,0.4,30,0,1. Metropolitan zone,0.272727272727273,0,Portugal,NA,1,2,3,2,2,8,0.650231689
EPOK46ZTYGLW5KT4B9,37.2585731235731,NA,37.2585731235731,37.2585731235731,NA,37.2585731235731,0.550943056786903,0,0,0.375,0.75,1,1,0,0.5,32,1,2. Other town/urban centre,0.181818181818182,1,Portugal,40,NA,2,3,2,3,8,1.076311427
EPOK47XNM6ZYVSC4B4,7.25857312357308,NA,7.25857312357308,7.25857312357308,NA,7.25857312357308,0.528537111957968,1,1,0,1,1,1,0,0.1,62,1,2. Other town/urban centre,0.181818181818182,1,Portugal,10,NA,2,2,3,2,8,0.44054163
EPOK45JRKJ847454B8,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.968010982713188,0,0,0,0,1,1,1,0.2,37,1,1. Metropolitan zone,0.181818181818182,0,Portugal,NA,1,1,1,1,1,8,0.629376645
EPOL784LV8W5ZDB4C9,7.25857312357308,NA,7.25857312357308,7.25857312357308,NA,7.25857312357308,0.645751614633481,0,0,1,0,1,1,1,0.4,38,1,3. Rural zone,0.181818181818182,1,Portugal,10,NA,1,4,2,1,8,0.938083451
EPOKD85CSL82BRG4B8,9.25857312357308,NA,9.25857312357308,9.25857312357308,NA,9.25857312357308,0.479064640942758,0,0,0,0.75,0.5,0,1,0.4,24,1,2. Other town/urban centre,NA,1,Portugal,12,NA,2,2,3,3,8,0.938083451
EPOKJYFNLTK6WQQ4C2,NA,-0.008296805149821,-0.008296805149821,NA,-0.008296805149821,-0.008296805149821,0.663010765861004,1,1,1,1,1,1,1,0.4,56,0,2. Other town/urban centre,NA,0,Portugal,NA,0,2,2,2,2,8,0.391622793
EPOK3NDRYNPD6SZ4B2,NA,9.99170319485018,9.99170319485018,NA,9.99170319485018,9.99170319485018,0.443011731896645,0,0,0.75,0.75,0.75,1,0,0.5,52,1,1. Metropolitan zone,0.272727272727273,0,Portugal,NA,10,3,3,2,4,8,0.794796927
EPOK47S7QS385CP4B9,NA,1.99170319485018,1.99170319485018,NA,1.99170319485018,1.99170319485018,0.600415527802114,0,1,0,0.125,0.125,1,0,0.4,20,1,1. Metropolitan zone,0.181818181818182,0,Portugal,NA,2,2,3,2,2,8,2.102688914
EPOKD7MSC7JPF9X4B1,5.25857312357308,NA,5.25857312357308,5.25857312357308,NA,5.25857312357308,0.869066040682767,1,0,1,1,1,1,0,0,30,0,2. Other town/urban centre,0.454545454545455,1,Portugal,8,NA,1,1,1,3,8,1.19909846
EPOKCZNK9HQJN534B6,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.663010765861004,0,1,0,0.25,0.625,1,1,0.3,28,1,3. Rural zone,0.272727272727273,0,Portugal,NA,1,2,2,2,2,8,0.629376645
EPOK84652TTNZXQ4B0,NA,0.001703194850179,0.001703194850179,NA,0.001703194850179,0.001703194850179,0.909552128838141,1,1,1,0.75,0.75,1,1,0.3,62,0,2. Other town/urban centre,0.181818181818182,0,Portugal,NA,0.01,2,1,1,1,8,0.34039475
EPOK47RCPJCGRYK4B3,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.550943056786903,1,1,1,0,1,1,0,0,54,0,2. Other town/urban centre,0.272727272727273,0,Portugal,NA,1,2,3,2,3,8,0.384733008
EPOKD7PFP7WF7PG4B8,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.905415744654298,1,1,0.75,0.125,0.75,1,1,0.3,45,0,1. Metropolitan zone,0.636363636363636,0,Portugal,NA,1,1,2,1,1,8,0.565685881
EPOKKVS662MZ2G24C2,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.600415527802114,1,1,0.5,0.5,0.5,1,1,0.3,40,1,1. Metropolitan zone,0.181818181818182,0,Portugal,NA,1,2,3,2,2,8,0.515683333
